// Made in NPC Maker by BowieD
GUID 85dd5a7da1904a9ca198ef79976011bd
Type Vendor
ID 24219
Selling 33
Selling_0_ID 47102
Selling_0_Cost 250
Selling_1_ID 47101
Selling_1_Cost 250
Selling_2_ID 47103
Selling_2_Cost 250
Selling_3_ID 47104
Selling_3_Cost 250
Selling_4_ID 47107
Selling_4_Cost 250
Selling_5_ID 47160
Selling_5_Cost 250
Selling_6_ID 47161
Selling_6_Cost 250
Selling_7_ID 47162
Selling_7_Cost 250
Selling_8_ID 47163
Selling_8_Cost 250
Selling_9_ID 47188
Selling_9_Cost 250
Selling_10_ID 47189
Selling_10_Cost 250
Selling_11_ID 282
Selling_11_Cost 250
Selling_12_ID 281
Selling_12_Cost 250
Selling_13_ID 283
Selling_13_Cost 250
Selling_14_ID 378
Selling_14_Cost 250
Selling_15_ID 284
Selling_15_Cost 250
Selling_16_ID 286
Selling_16_Cost 250
Selling_17_ID 455
Selling_17_Cost 250
Selling_18_ID 451
Selling_18_Cost 250
Selling_19_ID 456
Selling_19_Cost 250
Selling_20_ID 457
Selling_20_Cost 250
Selling_21_ID 1236
Selling_21_Cost 250
Selling_22_ID 1235
Selling_22_Cost 250
Selling_23_ID 1237
Selling_23_Cost 250
Selling_24_ID 1238
Selling_24_Cost 250
Selling_25_ID 1224
Selling_25_Cost 250
Selling_26_ID 1223
Selling_26_Cost 250
Selling_27_ID 1225
Selling_27_Cost 250
Selling_28_ID 1226
Selling_28_Cost 250
Selling_29_ID 1330
Selling_29_Cost 250
Selling_30_ID 1329
Selling_30_Cost 250
Selling_31_ID 1331
Selling_31_Cost 250
Selling_32_ID 1332
Selling_32_Cost 250
Disable_Sorting
