// Made in NPC Maker by BowieD
GUID 87e0e5151e954069ab5a6f5f64355947
Type Vendor
ID 24155
Selling 35
Selling_0_ID 58515
Selling_0_Cost 3500
Selling_1_ID 58059
Selling_1_Cost 3500
Selling_2_ID 58658
Selling_2_Cost 3500
Selling_3_ID 59344
Selling_3_Cost 3500
Selling_4_ID 59353
Selling_4_Cost 3500
Selling_5_ID 59354
Selling_5_Cost 3500
Selling_6_ID 59355
Selling_6_Cost 3500
Selling_7_ID 58031
Selling_7_Cost 3500
Selling_8_ID 59453
Selling_8_Cost 3500
Selling_9_ID 58923
Selling_9_Cost 3500
Selling_10_ID 58924
Selling_10_Cost 3500
Selling_11_ID 58038
Selling_11_Cost 3500
Selling_12_ID 58087
Selling_12_Cost 3500
Selling_13_ID 58636
Selling_13_Cost 3500
Selling_14_ID 58937
Selling_14_Cost 3500
Selling_15_ID 58638
Selling_15_Cost 3500
Selling_16_ID 58946
Selling_16_Cost 3500
Selling_17_ID 58107
Selling_17_Cost 3500
Selling_18_ID 59229
Selling_18_Cost 3500
Selling_19_ID 59648
Selling_19_Cost 3500
Selling_20_ID 59489
Selling_20_Cost 3500
Selling_21_ID 58105
Selling_21_Cost 3500
Selling_22_ID 59204
Selling_22_Cost 3500
Selling_23_ID 58434
Selling_23_Cost 3500
Selling_24_ID 59449
Selling_24_Cost 3500
Selling_25_ID 59144
Selling_25_Cost 3500
Selling_26_ID 59146
Selling_26_Cost 3500
Selling_27_ID 58425
Selling_27_Cost 3500
Selling_28_ID 58906
Selling_28_Cost 3500
Selling_29_ID 59240
Selling_29_Cost 3500
Selling_30_ID 59241
Selling_30_Cost 3500
Selling_31_ID 59415
Selling_31_Cost 3500
Selling_32_ID 59720
Selling_32_Cost 3500
Selling_33_ID 59775
Selling_33_Cost 4000
Selling_34_ID 59745
Selling_34_Cost 4000
Disable_Sorting
